Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Saquon Barkley,RB,PHI,9,1,1
2,Ja'Marr Chase,WR,CIN,10,1,1
3,Bijan Robinson,RB,ATL,5,2,1
4,Justin Jefferson,WR,MIN,6,2,1
5,CeeDee Lamb,WR,DAL,10,3,2
6,Jahmyr Gibbs,RB,DET,8,3,2
7,Puka Nacua,WR,LAR,8,4,2
8,Derrick Henry,RB,BAL,7,4,2
9,Nico Collins,WR,HOU,6,5,2
10,Malik Nabers,WR,NYG,14,6,2
11,Brian Thomas Jr.,WR,JAC,8,7,2
12,Ashton Jeanty,RB,LV,8,5,3
13,Amon-Ra St. Brown,WR,DET,8,8,3
14,Christian McCaffrey,RB,SF,14,6,3
15,Jonathan Taylor,RB,IND,11,7,3
16,A.J. Brown,WR,PHI,9,9,3
17,Josh Jacobs,RB,GB,5,8,3
18,De'Von Achane,RB,MIA,12,9,3
19,George Kittle,TE,SF,14,1,3
20,Drake London,WR,ATL,5,10,3
21,Brock Bowers,TE,LV,8,2,4
22,Ladd McConkey,WR,LAC,12,11,4
23,Kyren Williams,RB,LAR,8,10,4
24,Bucky Irving,RB,TB,9,11,4
25,Tee Higgins,WR,CIN,10,12,4
26,Mike Evans,WR,TB,9,13,4
27,James Cook,RB,BUF,7,12,4
28,Chase Brown,RB,CIN,10,13,4
29,Davante Adams,WR,LAR,8,14,4
30,Tyreek Hill,WR,MIA,12,15,4
31,Trey McBride,TE,ARI,8,3,4
32,Josh Allen,QB,BUF,7,1,4
33,Jaxon Smith-Njigba,WR,SEA,8,16,5
34,Lamar Jackson,QB,BAL,7,2,4
35,Jayden Daniels,QB,WAS,12,3,4
36,Terry McLaurin,WR,WAS,12,17,5
37,Garrett Wilson,WR,NYJ,9,18,5
38,Jalen Hurts,QB,PHI,9,4,5
39,Breece Hall,RB,NYJ,9,14,5
40,Joe Burrow,QB,CIN,10,5,6
41,Patrick Mahomes II,QB,KC,10,6,6
42,Marvin Harrison Jr.,WR,ARI,8,19,5
43,Kenneth Walker III,RB,SEA,8,15,5
44,Baker Mayfield,QB,TB,9,7,7
45,Chuba Hubbard,RB,CAR,14,16,5
46,Bo Nix,QB,DEN,12,8,7
47,DK Metcalf,WR,PIT,5,20,5
48,James Conner,RB,ARI,8,17,5
49,Alvin Kamara,RB,NO,11,18,5
50,Kyler Murray,QB,ARI,8,9,7
51,Omarion Hampton,RB,LAC,12,19,6
52,Jameson Williams,WR,DET,8,21,5
53,Courtland Sutton,WR,DEN,12,22,6
54,Brock Purdy,QB,SF,14,10,8
55,DJ Moore,WR,CHI,5,23,6
56,Joe Mixon,RB,HOU,6,20,6
57,Zay Flowers,WR,BAL,7,24,6
58,Justin Fields,QB,NYJ,9,11,8
59,Xavier Worthy,WR,KC,10,25,6
60,Caleb Williams,QB,CHI,5,12,8
61,Dak Prescott,QB,DAL,10,13,8
62,David Montgomery,RB,DET,8,21,6
63,Rashee Rice,WR,KC,10,26,6
64,DeVonta Smith,WR,PHI,9,27,6
65,Justin Herbert,QB,LAC,12,14,8
66,Sam LaPorta,TE,DET,8,4,6
67,D'Andre Swift,RB,CHI,5,22,6
68,Jared Goff,QB,DET,8,15,8
