Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Ja'Marr Chase,WR,CIN,10,1,1
2,Saquon Barkley,RB,PHI,9,1,1
3,Bijan Robinson,RB,ATL,5,2,1
4,Justin Jefferson,WR,MIN,6,2,1
5,Jahmyr Gibbs,RB,DET,8,3,2
6,CeeDee Lamb,WR,DAL,10,3,2
7,Derrick Henry,RB,BAL,7,4,2
8,Puka Nacua,WR,LAR,8,4,2
9,Nico Collins,WR,HOU,6,5,2
10,Malik Nabers,WR,NYG,14,6,2
11,Brian Thomas Jr.,WR,JAC,8,7,2
12,Ashton Jeanty,RB,LV,8,5,3
13,Amon-Ra St. Brown,WR,DET,8,8,3
14,Jonathan Taylor,RB,IND,11,6,3
15,Christian McCaffrey,RB,SF,14,7,3
16,A.J. Brown,WR,PHI,9,9,3
17,Josh Jacobs,RB,GB,5,8,3
18,George Kittle,TE,SF,14,1,3
19,Drake London,WR,ATL,5,10,3
20,De'Von Achane,RB,MIA,12,9,3
21,Brock Bowers,TE,LV,8,2,4
22,Ladd McConkey,WR,LAC,12,11,4
23,Bucky Irving,RB,TB,9,10,4
24,Kyren Williams,RB,LAR,8,11,4
25,Josh Allen,QB,BUF,7,1,4
26,Lamar Jackson,QB,BAL,7,2,4
27,Tee Higgins,WR,CIN,10,12,4
28,Mike Evans,WR,TB,9,13,4
29,Jayden Daniels,QB,WAS,12,3,4
30,Tyreek Hill,WR,MIA,12,14,4
31,James Cook,RB,BUF,7,12,4
32,Chase Brown,RB,CIN,10,13,4
33,Davante Adams,WR,LAR,8,15,4
34,Trey McBride,TE,ARI,8,3,5
35,Jaxon Smith-Njigba,WR,SEA,8,16,5
36,Terry McLaurin,WR,WAS,12,17,5
37,Jalen Hurts,QB,PHI,9,4,5
38,Breece Hall,RB,NYJ,9,14,5
39,Garrett Wilson,WR,NYJ,9,18,5
40,Marvin Harrison Jr.,WR,ARI,8,19,5
41,Kenneth Walker III,RB,SEA,8,15,5
42,Chuba Hubbard,RB,CAR,14,16,5
43,DK Metcalf,WR,PIT,5,20,5
44,James Conner,RB,ARI,8,17,5
45,Alvin Kamara,RB,NO,11,18,5
46,Jameson Williams,WR,DET,8,21,5
47,Joe Burrow,QB,CIN,10,5,5
48,Omarion Hampton,RB,LAC,12,19,6
49,Courtland Sutton,WR,DEN,12,22,6
50,DJ Moore,WR,CHI,5,23,6
51,Joe Mixon,RB,HOU,6,20,6
52,Zay Flowers,WR,BAL,7,24,6
53,David Montgomery,RB,DET,8,21,6
54,Xavier Worthy,WR,KC,10,25,6
55,Sam LaPorta,TE,DET,8,4,6
56,DeVonta Smith,WR,PHI,9,26,6
57,Rashee Rice,WR,KC,10,27,6
58,D'Andre Swift,RB,CHI,5,22,6
59,Calvin Ridley,WR,TEN,10,28,6
60,TreVeyon Henderson,RB,NE,14,23,6
61,RJ Harvey,RB,DEN,12,24,6
62,Patrick Mahomes II,QB,KC,10,6,6
63,Kaleb Johnson,RB,PIT,5,25,6
